Dataset,Method,Train Size,Test Size,Features Count,D,Linkage,# Clusters,Gap,Errors Train/Test,Time
iris,Univarié,120,30,4,2,Single,1,0.0%,82/18,0.0s
iris,Univarié,120,30,4,2,Single,2,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,3,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,4,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,5,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,6,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,7,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,8,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,9,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Single,10,0.0%,35/12,0.1s
iris,Univarié,120,30,4,2,Average,1,0.0%,82/18,0.0s
iris,Univarié,120,30,4,2,Average,2,0.0%,82/18,0.0s
iris,Univarié,120,30,4,2,Average,3,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Average,4,0.0%,39/12,0.0s
iris,Univarié,120,30,4,2,Average,5,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Average,6,0.0%,29/10,0.0s
iris,Univarié,120,30,4,2,Average,7,0.0%,28/10,0.1s
iris,Univarié,120,30,4,2,Average,8,0.0%,28/10,0.1s
iris,Univarié,120,30,4,2,Average,9,0.0%,19/8,0.1s
iris,Univarié,120,30,4,2,Average,10,0.0%,19/8,0.1s
iris,Univarié,120,30,4,2,Complet,1,0.0%,82/18,0.0s
iris,Univarié,120,30,4,2,Complet,2,0.0%,82/18,0.0s
iris,Univarié,120,30,4,2,Complet,3,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Complet,4,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Complet,5,0.0%,38/12,0.0s
iris,Univarié,120,30,4,2,Complet,6,0.0%,13/3,0.0s
iris,Univarié,120,30,4,2,Complet,7,0.0%,13/3,0.0s
iris,Univarié,120,30,4,2,Complet,8,0.0%,13/3,0.0s
iris,Univarié,120,30,4,2,Complet,9,0.0%,13/3,0.0s
iris,Univarié,120,30,4,2,Complet,10,0.0%,13/3,0.1s
iris,Multivarié,120,30,4,2,Single,1,0.0%,82/18,0.0s
iris,Multivarié,120,30,4,2,Single,2,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,3,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,4,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,5,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,6,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,7,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,8,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,9,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Single,10,0.0%,34/12,0.1s
iris,Multivarié,120,30,4,2,Average,1,0.0%,82/18,0.0s
iris,Multivarié,120,30,4,2,Average,2,0.0%,38/12,0.0s
iris,Multivarié,120,30,4,2,Average,3,0.0%,35/12,0.0s
iris,Multivarié,120,30,4,2,Average,4,0.0%,16/8,0.1s
iris,Multivarié,120,30,4,2,Average,5,0.0%,15/8,0.0s
iris,Multivarié,120,30,4,2,Average,6,0.0%,15/8,0.1s
iris,Multivarié,120,30,4,2,Average,7,0.0%,15/8,0.1s
iris,Multivarié,120,30,4,2,Average,8,0.0%,15/8,0.2s
iris,Multivarié,120,30,4,2,Average,9,0.0%,15/8,0.2s
iris,Multivarié,120,30,4,2,Average,10,0.0%,15/8,0.2s
iris,Multivarié,120,30,4,2,Complet,1,0.0%,82/18,0.0s
iris,Multivarié,120,30,4,2,Complet,2,0.0%,39/12,0.0s
iris,Multivarié,120,30,4,2,Complet,3,0.0%,39/13,0.1s
iris,Multivarié,120,30,4,2,Complet,4,0.0%,26/8,0.0s
iris,Multivarié,120,30,4,2,Complet,5,0.0%,26/8,0.1s
iris,Multivarié,120,30,4,2,Complet,6,0.0%,14/4,0.1s
iris,Multivarié,120,30,4,2,Complet,7,0.0%,14/4,0.2s
iris,Multivarié,120,30,4,2,Complet,8,0.0%,11/2,0.2s
iris,Multivarié,120,30,4,2,Complet,9,0.0%,14/4,0.2s
iris,Multivarié,120,30,4,2,Complet,10,0.0%,14/7,0.2s
iris,Univarié,120,30,4,3,Single,1,0.0%,82/18,0.0s
iris,Univarié,120,30,4,3,Single,2,0.0%,38/12,0.0s
iris,Univarié,120,30,4,3,Single,3,0.0%,38/12,0.0s
iris,Univarié,120,30,4,3,Single,4,0.0%,38/12,0.0s
iris,Univarié,120,30,4,3,Single,5,0.0%,38/12,0.0s
iris,Univarié,120,30,4,3,Single,6,0.0%,38/12,0.0s
